"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Uninsured","2020 (COVID-19 Pandemic)","Hawaii","15","53,195","3.9"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Hawaii","15","19,723","6.0"
"Uninsured","2021","Hawaii","15","54,462","3.9"
"Households living below the federal poverty level","2021","Hawaii","15","26,791","8.0"
"Uninsured","2022","Hawaii","15","48,833","3.5"
"Households living below the federal poverty level","2022","Hawaii","15","22,113","6.6"
"Uninsured","2017","Idaho","16","172,013","10.1"
"Households living below the federal poverty level","2017","Idaho","16","36,101","8.6"
"Uninsured","2018","Idaho","16","192,620","11.1"
"Households living below the federal poverty level","2018","Idaho","16","35,897","8.2"
"Uninsured","2019","Idaho","16","191,195","10.8"
"Households living below the federal poverty level","2019","Idaho","16","33,224","7.4"
"Uninsured","2020 (COVID-19 Pandemic)","Idaho","16","174,046","9.6"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Idaho","16","31,250","6.7"
"Uninsured","2021","Idaho","16","165,929","8.8"
"Households living below the federal poverty level","2021","Idaho","16","36,688","7.7"
"Uninsured","2022","Idaho","16","156,638","8.2"
"Households living below the federal poverty level","2022","Idaho","16","33,392","6.8"
"Uninsured","2017","Illinois","17","859,257","6.8"
"Households living below the federal poverty level","2017","Illinois","17","277,519","9.0"
"Uninsured","2018","Illinois","17","874,608","7.0"
"Households living below the federal poverty level","2018","Illinois","17","265,124","8.5"
"Uninsured","2019","Illinois","17","923,291","7.4"
"Households living below the federal poverty level","2019","Illinois","17","241,666","7.9"
"Uninsured","2020 (COVID-19 Pandemic)","Illinois","17","881,009","7.1"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Illinois","17","228,422","7.4"
"Uninsured","2021","Illinois","17","875,099","7.0"
"Households living below the federal poverty level","2021","Illinois","17","269,661","8.6"
"Uninsured","2022","Illinois","17","813,235","6.6"
"Households living below the federal poverty level","2022","Illinois","17","260,447","8.3"
"Uninsured","2017","Indiana","18","536,399","8.2"
"Households living below the federal poverty level","2017","Indiana","18","152,729","9.2"
"Uninsured","2018","Indiana","18","545,123","8.3"
"Households living below the federal poverty level","2018","Indiana","18","156,535","9.3"
"Uninsured","2019","Indiana","18","578,436","8.7"
"Households living below the federal poverty level","2019","Indiana","18","127,860","7.8"
"Uninsured","2020 (COVID-19 Pandemic)","Indiana","18","497,005","7.5"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Indiana","18","135,038","8.0"
"Uninsured","2021","Indiana","18","504,396","7.5"
"Households living below the federal poverty level","2021","Indiana","18","142,548","8.3"
"Uninsured","2022","Indiana","18","469,462","7.0"
"Households living below the federal poverty level","2022","Indiana","18","153,129","8.8"
"Uninsured","2017","Iowa","19","146,017","4.7"
"Households living below the federal poverty level","2017","Iowa","19","53,239","6.7"
"Uninsured","2018","Iowa","19","147,039","4.7"
"Households living below the federal poverty level","2018","Iowa","19","57,624","7.2"
"Uninsured","2019","Iowa","19","156,062","5.0"
"Households living below the federal poverty level","2019","Iowa","19","59,043","7.3"
"Uninsured","2020 (COVID-19 Pandemic)","Iowa","19","152,357","4.9"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Iowa","19","54,751","6.8"
"Uninsured","2021","Iowa","19","151,285","4.8"
"Households living below the federal poverty level","2021","Iowa","19","55,717","6.9"
"Uninsured","2022","Iowa","19","140,796","4.5"
"Households living below the federal poverty level","2022","Iowa","19","55,893","6.8"
"Uninsured","2017","Kansas","20","249,392","8.7"
"Households living below the federal poverty level","2017","Kansas","20","57,958","7.9"
"Uninsured","2018","Kansas","20","250,355","8.8"
"Households living below the federal poverty level","2018","Kansas","20","58,140","8.0"
"Uninsured","2019","Kansas","20","262,392","9.2"
"Households living below the federal poverty level","2019","Kansas","20","55,012","7.5"
"Uninsured","2020 (COVID-19 Pandemic)","Kansas","20","252,299","8.8"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Kansas","20","55,024","7.4"
"Uninsured","2021","Kansas","20","263,730","9.2"
"Households living below the federal poverty level","2021","Kansas","20","59,282","8.0"
"Uninsured","2022","Kansas","20","247,070","8.6"
"Households living below the federal poverty level","2022","Kansas","20","57,011","7.7"
"Uninsured","2017","Kentucky","21","235,227","5.4"
"Households living below the federal poverty level","2017","Kentucky","21","145,748","12.9"
"Uninsured","2018","Kentucky","21","247,641","5.6"
"Households living below the federal poverty level","2018","Kentucky","21","143,505","12.6"
"Uninsured","2019","Kentucky","21","282,563","6.4"
"Households living below the federal poverty level","2019","Kentucky","21","133,255","11.8"
"Uninsured","2020 (COVID-19 Pandemic)","Kentucky","21","254,911","5.8"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Kentucky","21","117,305","10.4"
