"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"PrEP coverage and number of persons prescribed","2019","Utah","49","2,036","NA","29.8"
"Knowledge of Status","2019","Utah","49","3,053","NA","81.9 (74.3 - 91.2, 5.3)"
"HIV viral suppression","2019","Utah","49","2,092","NA","71.0"
"HIV prevalence","2019","Utah","49","3,083","121.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Utah","49","3,700 (3,300 - 4,100, 5.2)","147.0 (132.0 - 162.0)","NA"
"Estimated HIV incidence","2019","Utah","49","150 (40 - 260, 37.2*)","5.8 (1.6 - 10.1)","NA"
"AIDS prevalence","2019","Utah","49","1,454","57.3","NA"
"AIDS classifications","2019","Utah","49","55","2.2","NA"
"AIDS deaths","2019","Utah","49","31","1.2","NA"
"HIV deaths","2019","Utah","49","37","1.5","NA"
"HIV diagnoses","2019","Utah","49","137","5.4","NA"
"Linkage to HIV medical care","2019","Utah","49","106","NA","78.5"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Vermont","50","740 (700 - 890, 10.3)","135.7 (127.7 - 163.2)","NA"
"AIDS classifications","2019","Vermont","50","4","0.7","NA"
"AIDS deaths","2019","Vermont","50","10","1.8","NA"
"AIDS prevalence","2019","Vermont","50","364","66.9","NA"
"Estimated HIV incidence","2019","Vermont","50","Data not available","Data not available","NA"
"HIV deaths","2019","Vermont","50","13","2.4","NA"
"HIV diagnoses","2019","Vermont","50","11","2.0","NA"
"HIV prevalence","2019","Vermont","50","701","128.8","NA"
"HIV viral suppression","2019","Vermont","50","Data not available","NA","Data not available"
"Knowledge of Status","2019","Vermont","50","695","NA","94.1 (78.3 - 100.0, 5.9)"
"Linkage to HIV medical care","2019","Vermont","50","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2019","Vermont","50","338","NA","31.9"
"Receipt of HIV medical care","2019","Vermont","50","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","Virginia","51","15,972","NA","69.8"
"PrEP coverage and number of persons prescribed","2019","Virginia","51","4,401","NA","14.0"
"Knowledge of Status","2019","Virginia","51","23,174","NA","85.9 (82.5 - 89.5, 2.1)"
"HIV viral suppression","2019","Virginia","51","14,462","NA","63.2"
"HIV prevalence","2019","Virginia","51","23,374","323.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Virginia","51","27,000 (25,900 - 28,100, 2.1)","374.0 (358.9 - 389.1)","NA"
"Estimated HIV incidence","2019","Virginia","51","770 (510 - 1,000, 17.2)","10.6 (7.0 - 14.2)","NA"
"AIDS prevalence","2019","Virginia","51","11,029","152.8","NA"
"AIDS classifications","2019","Virginia","51","375","5.2","NA"
"AIDS deaths","2019","Virginia","51","255","3.5","NA"
"HIV deaths","2019","Virginia","51","328","4.5","NA"
"HIV diagnoses","2019","Virginia","51","829","11.5","NA"
"Linkage to HIV medical care","2019","Virginia","51","647","NA","78.7"
"Receipt of HIV medical care","2019","Washington","53","11,688","NA","86.3"
"PrEP coverage and number of persons prescribed","2019","Washington","53","9,920","NA","24.8"
"Knowledge of Status","2019","Washington","53","13,750","NA","86.2 (82.0 - 90.9, 2.6)"
"HIV viral suppression","2019","Washington","53","10,861","NA","80.2"
"HIV prevalence","2019","Washington","53","13,868","216.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Washington","53","15,900 (15,100 - 16,800, 2.6)","248.9 (236.1 - 261.7)","NA"
"Estimated HIV incidence","2019","Washington","53","470 (250 - 690, 24.0)","7.4 (3.9 - 10.8)","NA"
"AIDS prevalence","2019","Washington","53","7,137","111.4","NA"
"AIDS classifications","2019","Washington","53","183","2.9","NA"
"AIDS deaths","2019","Washington","53","146","2.3","NA"
"HIV deaths","2019","Washington","53","178","2.8","NA"
"HIV diagnoses","2019","Washington","53","478","7.5","NA"
"Linkage to HIV medical care","2019","Washington","53","432","NA","89.4"
"Receipt of HIV medical care","2019","West Virginia","54","1,373","NA","74.3"
"Knowledge of Status","2019","West Virginia","54","1,954","NA","73.0 (63.7 - 85.5, 7.6)"
"HIV viral suppression","2019","West Virginia","54","1,182","NA","64.0"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","West Virginia","54","2,700 (2,300 - 3,100, 7.4)","173.8 (148.4 - 199.2)","NA"
"Estimated HIV incidence","2019","West Virginia","54","260 (80 - 440, 35.7*)","16.9 (5.1 - 28.8)","NA"
"AIDS classifications","2019","West Virginia","54","44","2.9","NA"
"HIV diagnoses","2019","West Virginia","54","152","9.9","NA"
"Linkage to HIV medical care","2019","West Virginia","54","107","NA","73.3"
"PrEP coverage and number of persons prescribed","2019","West Virginia","54","570","NA","10.9"
"HIV prevalence","2019","West Virginia^","54","1,930","125.4","NA"
"AIDS prevalence","2019","West Virginia^","54","1,002","65.1","NA"
"AIDS deaths","2019","West Virginia^","54","33","2.1","NA"
"HIV deaths","2019","West Virginia^","54","49","3.2","NA"
"Receipt of HIV medical care","2019","Wisconsin","55","5,204","NA","82.9"
"PrEP coverage and number of persons prescribed","2019","Wisconsin","55","2,476","NA","19.1"
"Knowledge of Status","2019","Wisconsin","55","6,357","NA","85.9 (80.1 - 92.7, 3.7)"
"HIV viral suppression","2019","Wisconsin","55","4,813","NA","76.7"
"HIV prevalence","2019","Wisconsin","55","6,424","130.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Wisconsin","55","7,400 (6,900 - 7,900, 3.7)","150.2 (139.2 - 161.1)","NA"
"Estimated HIV incidence","2019","Wisconsin","55","230 (100 - 370, 29.6)","4.7 (2.0 - 7.5)","NA"
"AIDS prevalence","2019","Wisconsin","55","3,063","62.2","NA"
"AIDS classifications","2019","Wisconsin","55","115","2.3","NA"
"AIDS deaths","2019","Wisconsin","55","66","1.3","NA"
"HIV deaths","2019","Wisconsin","55","88","1.8","NA"
"HIV diagnoses","2019","Wisconsin","55","209","4.2","NA"
"Linkage to HIV medical care","2019","Wisconsin","55","190","NA","90.0"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Wyoming","56","390 (340 - 510, 15.8)","80.2 (69.8 - 105.1)","NA"
"AIDS classifications","2019","Wyoming","56","4","0.8","NA"
"AIDS deaths","2019","Wyoming","56","4","0.8","NA"
"AIDS prevalence","2019","Wyoming","56","177","36.5","NA"
"Estimated HIV incidence","2019","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2019","Wyoming","56","5","1.0","NA"
"HIV diagnoses","2019","Wyoming","56","13","2.7","NA"
"HIV prevalence","2019","Wyoming","56","345","71.2","NA"
"HIV viral suppression","2019","Wyoming","56","226","NA","67.9"
"Knowledge of Status","2019","Wyoming","56","338","NA","87.1 (66.4 - 100.0, 9.8)"
"Linkage to HIV medical care","2019","Wyoming","56","13","NA","100.0"
"PrEP coverage and number of persons prescribed","2019","Wyoming","56","93","NA","10.4"
"Receipt of HIV medical care","2019","Wyoming","56","273","NA","82.0"
"AIDS classifications","2018","Alabama","01","289","7.0","NA"
"AIDS deaths","2018","Alabama","01","168","4.1","NA"
"HIV deaths","2018","Alabama","01","236","5.7","NA"
"HIV diagnoses","2018","Alabama","01","602","14.6","NA"
"Linkage to HIV medical care","2018","Alabama","01","488","NA","80.4"
"AIDS classifications","2018","Alaska","02","11","1.8","NA"
"AIDS deaths","2018","Alaska","02","8","1.3","NA"
"AIDS prevalence","2018","Alaska","02","375","62.3","NA"
"Estimated HIV incidence","2018","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2018","Alaska","02","9","1.5","NA"
"HIV diagnoses","2018","Alaska","02","23","3.8","NA"
"HIV prevalence","2018","Alaska","02","699","116.2","NA"
"HIV viral suppression","2018","Alaska","02","530","NA","77.5"
"Knowledge of Status","2018","Alaska","02","691","NA","79.8 (65.1 - 100.0, 11.2)"
"Linkage to HIV medical care","2018","Alaska","02","20","NA","87.0"
"PrEP coverage and number of persons prescribed","2018","Alaska","02","200","NA","11.2"
"Receipt of HIV medical care","2018","Alaska","02","607","NA","88.7"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","3,505","NA","13.6"
"Knowledge of Status","2018","Arizona","04","16,188","NA","81.4 (77.9 - 85.3, 2.3)"
"HIV prevalence","2018","Arizona","04","16,287","271.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Arizona","04","19,900 (19,000 - 20,800, 2.3)","331.8 (316.7 - 346.8)","NA"
"Estimated HIV incidence","2018","Arizona","04","860 (580 - 1,100, 16.3)","14.3 (9.7 - 18.9)","NA"
"AIDS prevalence","2018","Arizona","04","7,655","127.7","NA"
"AIDS classifications","2018","Arizona","04","291","4.9","NA"
"AIDS deaths","2018","Arizona","04","200","3.3","NA"
"HIV deaths","2018","Arizona","04","250","4.2","NA"
"HIV diagnoses","2018","Arizona","04","751","12.5","NA"
"HIV viral suppression","2018","Arizona","04","Data not available","NA","Data not available"
"Linkage to HIV medical care","2018","Arizona","04","Data not available","NA","Data not available"
"Receipt of HIV medical care","2018","Arizona","04","Data not available","NA","Data not available"
"Knowledge of Status","2018","Arkansas","05","5,589","NA","81.6 (75.9 - 88.3, 3.9)"
"HIV prevalence","2018","Arkansas","05","5,625","224.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Arkansas","05","6,800 (6,300 - 7,400, 3.8)","273.2 (252.6 - 293.8)","NA"
"Estimated HIV incidence","2018","Arkansas","05","240 (110 - 360, 26.3)","9.4 (4.6 - 14.3)","NA"
"AIDS prevalence","2018","Arkansas","05","2,539","101.3","NA"
"AIDS classifications","2018","Arkansas","05","120","4.8","NA"
"AIDS deaths","2018","Arkansas","05","67","2.7","NA"
"HIV deaths","2018","Arkansas","05","88","3.5","NA"
"HIV diagnoses","2018","Arkansas","05","278","11.1","NA"
"HIV viral suppression","2018","Arkansas","05","Data not available","NA","Data not available"
"Linkage to HIV medical care","2018","Arkansas","05","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","586","NA","11.4"
"Receipt of HIV medical care","2018","Arkansas","05","Data not available","NA","Data not available"
"Knowledge of Status","2017","Kansas","20","2,965","NA","80.9 (73.2 - 90.3, 5.4)"
"Receipt of HIV medical care","2018","West Virginia","54","1,361","NA","75.2"
"Knowledge of Status","2018","West Virginia","54","1,845","NA","75.1 (65.9 - 87.1, 7.2)"
"HIV viral suppression","2018","West Virginia","54","1,136","NA","62.7"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","West Virginia","54","2,500 (2,100 - 2,800, 7.1)","159.0 (137.0 - 181.0)","NA"
"Estimated HIV incidence","2018","West Virginia","54","180 (50 - 310, 36.0*)","11.8 (3.4 - 20.1)","NA"
"AIDS classifications","2018","West Virginia","54","35","2.3","NA"
"HIV diagnoses","2018","West Virginia","54","92","6.0","NA"
"Linkage to HIV medical care","2018","West Virginia","54","70","NA","81.4"
"PrEP coverage and number of persons prescribed","2018","West Virginia","54","369","NA","7.0"
"HIV prevalence","2018","West Virginia^","54","1,823","117.9","NA"
"AIDS deaths","2018","West Virginia^","54","39","2.5","NA"
"AIDS prevalence","2018","West Virginia^","54","985","63.7","NA"
"HIV deaths","2018","West Virginia^","54","48","3.1","NA"
"Receipt of HIV medical care","2018","Wisconsin","55","5,051","NA","82.6"
"PrEP coverage and number of persons prescribed","2018","Wisconsin","55","1,852","NA","14.3"
"Knowledge of Status","2018","Wisconsin","55","6,155","NA","85.8 (80.0 - 92.5, 3.7)"
"HIV viral suppression","2018","Wisconsin","55","4,525","NA","74.0"
"HIV prevalence","2018","Wisconsin","55","6,225","126.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Wisconsin","55","7,200 (6,700 - 7,700, 3.7)","146.3 (135.6 - 156.9)","NA"
"Estimated HIV incidence","2018","Wisconsin","55","200 (90 - 310, 27.8)","4.1 (1.9 - 6.3)","NA"
"AIDS prevalence","2018","Wisconsin","55","2,984","60.8","NA"
"AIDS classifications","2018","Wisconsin","55","83","1.7","NA"
"AIDS deaths","2018","Wisconsin","55","65","1.3","NA"
"HIV deaths","2018","Wisconsin","55","91","1.9","NA"
"HIV diagnoses","2018","Wisconsin","55","205","4.2","NA"
"Linkage to HIV medical care","2018","Wisconsin","55","178","NA","86.4"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Wyoming","56","400 (340 - 510, 15.1)","82.1 (70.6 - 106.3)","NA"
"AIDS classifications","2018","Wyoming","56","2","0.4","NA"
"AIDS deaths","2018","Wyoming","56","7","1.5","NA"
"AIDS prevalence","2018","Wyoming","56","174","36.1","NA"
"Estimated HIV incidence","2018","Wyoming","56","Data not available","Data not available","NA"
"HIV deaths","2018","Wyoming","56","7","1.5","NA"
"HIV diagnoses","2018","Wyoming","56","12","2.5","NA"
"HIV prevalence","2018","Wyoming","56","347","72.1","NA"
"HIV viral suppression","2018","Wyoming","56","256","NA","76.9"
"Knowledge of Status","2018","Wyoming","56","340","NA","86.0 (66.4 - 100.0, 10.0)"
"Linkage to HIV medical care","2018","Wyoming","56","9","NA","75.0"
"PrEP coverage and number of persons prescribed","2018","Wyoming","56","71","NA","8.0"
"Receipt of HIV medical care","2018","Wyoming","56","281","NA","84.4"
"AIDS classifications","2017","Alabama","01","293","7.2","NA"
"AIDS deaths","2017","Alabama","01","200","4.9","NA"
"HIV deaths","2017","Alabama","01","262","6.4","NA"
"HIV diagnoses","2017","Alabama","01","645","15.7","NA"
"Linkage to HIV medical care","2017","Alabama","01","499","NA","76.9"
"AIDS classifications","2017","Alaska","02","13","2.2","NA"
"AIDS deaths","2017","Alaska","02","4","0.7","NA"
"AIDS prevalence","2017","Alaska","02","387","64.1","NA"
"Estimated HIV incidence","2017","Alaska","02","Data not available","Data not available","NA"
"HIV deaths","2017","Alaska","02","7","1.2","NA"
"HIV diagnoses","2017","Alaska","02","29","4.8","NA"
"HIV prevalence","2017","Alaska","02","709","117.4","NA"
"HIV viral suppression","2017","Alaska","02","541","NA","79.0"
"Knowledge of Status","2017","Alaska","02","703","NA","81.0 (66.6 - 100.0, 10.5)"
"Linkage to HIV medical care","2017","Alaska","02","28","NA","96.6"
"PrEP coverage and number of persons prescribed","2017","Alaska","02","123","NA","5.2"
"Receipt of HIV medical care","2017","Alaska","02","609","NA","88.9"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","2,267","NA","8.5"
"Knowledge of Status","2017","Arizona","04","15,558","NA","81.3 (77.8 - 85.1, 2.3)"
"HIV prevalence","2017","Arizona","04","15,654","266.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Arizona","04","19,100 (18,300 - 20,000, 2.3)","326.0 (311.3 - 340.6)","NA"
"Estimated HIV incidence","2017","Arizona","04","820 (590 - 1,000, 14.2)","13.9 (10.1 - 17.8)","NA"
"AIDS prevalence","2017","Arizona","04","7,503","127.7","NA"
"AIDS classifications","2017","Arizona","04","305","5.2","NA"
"AIDS deaths","2017","Arizona","04","196","3.3","NA"
"HIV deaths","2017","Arizona","04","248","4.2","NA"
"HIV diagnoses","2017","Arizona","04","712","12.1","NA"
"HIV viral suppression","2017","Arizona","04","Data not available","NA","Data not available"
"Linkage to HIV medical care","2017","Arizona","04","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","Arizona","04","Data not available","NA","Data not available"
"Knowledge of Status","2017","Arkansas","05","5,432","NA","80.6 (75.1 - 87.1, 3.8)"
"HIV prevalence","2017","Arkansas","05","5,467","219.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Arkansas","05","6,700 (6,200 - 7,200, 3.8)","269.8 (249.7 - 289.8)","NA"
"Estimated HIV incidence","2017","Arkansas","05","270 (160 - 380, 20.8)","10.7 (6.3 - 15.1)","NA"
"AIDS prevalence","2017","Arkansas","05","2,498","100.1","NA"
"AIDS classifications","2017","Arkansas","05","128","5.1","NA"
"AIDS deaths","2017","Arkansas","05","79","3.2","NA"
"HIV deaths","2017","Arkansas","05","105","4.2","NA"
"HIV diagnoses","2017","Arkansas","05","284","11.4","NA"
"HIV viral suppression","2017","Arkansas","05","Data not available","NA","Data not available"
"Linkage to HIV medical care","2017","Arkansas","05","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","415","NA","8.6"
"Receipt of HIV medical care","2017","Arkansas","05","Data not available","NA","Data not available"
"Receipt of HIV medical care","2017","California","06","94,542","NA","76.6"
"PrEP coverage and number of persons prescribed","2017","California","06","26,223","NA","15.8"
"Linkage to HIV medical care","2017","California","06","3,624","NA","74.3"
"Knowledge of Status","2017","California","06","126,774","NA","85.9 (84.4 - 87.3, 0.9)"
"HIV viral suppression","2017","California","06","82,379","NA","66.7"
"HIV prevalence","2017","California","06","127,288","387.8","NA"
"HIV diagnoses","2017","California","06","4,920","15.0","NA"
"HIV deaths","2017","California","06","1,720","5.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","California","06","147,600 (145,200 - 150,100, 0.9)","449.8 (442.2 - 457.4)","NA"
"Estimated HIV incidence","2017","California","06","4,800 (4,300 - 5,300, 5.2)","14.5 (13.0 - 16.0)","NA"
"AIDS prevalence","2017","California","06","69,144","210.7","NA"
"AIDS deaths","2017","California","06","1,430","4.4","NA"
"AIDS classifications","2017","California","06","1,933","5.9","NA"
"Receipt of HIV medical care","2018","California","06","95,975","NA","76.0"
"PrEP coverage and number of persons prescribed","2018","California","06","36,068","NA","21.9"
"Linkage to HIV medical care","2018","California","06","3,744","NA","79.5"
"Knowledge of Status","2018","California","06","129,525","NA","86.1 (84.7 - 87.6, 0.9)"
"HIV viral suppression","2018","California","06","84,492","NA","66.9"
"HIV prevalence","2018","California","06","130,075","394.3","NA"
"HIV diagnoses","2018","California","06","4,828","14.6","NA"
"HIV deaths","2018","California","06","1,727","5.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","California","06","150,400 (147,800 - 152,900, 0.9)","455.9 (448.1 - 463.7)","NA"
"Estimated HIV incidence","2018","California","06","4,800 (4,200 - 5,300, 5.9)","14.5 (12.8 - 16.2)","NA"
"AIDS prevalence","2018","California","06","69,256","210.0","NA"
"AIDS deaths","2018","California","06","1,412","4.3","NA"
"AIDS classifications","2018","California","06","1,800","5.5","NA"
"Receipt of HIV medical care","2019","California","06","98,773","NA","76.8"
"PrEP coverage and number of persons prescribed","2019","California","06","41,672","NA","25.3"
"Linkage to HIV medical care","2019","California","06","3,601","NA","82.7"
"Knowledge of Status","2019","California","06","132,054","NA","86.4 (85.0 - 87.9, 0.9)"
"HIV viral suppression","2019","California","06","86,913","NA","67.6"
"HIV prevalence","2019","California","06","132,646","401.1","NA"
"HIV diagnoses","2019","California","06","4,601","13.9","NA"
"HIV deaths","2019","California","06","1,763","5.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","California","06","152,800 (150,200 - 155,400, 0.9)","462.0 (454.0 - 470.0)","NA"
"Estimated HIV incidence","2019","California","06","4,400 (3,800 - 5,100, 6.9)","13.5 (11.6 - 15.3)","NA"
"AIDS prevalence","2019","California","06","69,445","210.0","NA"
"AIDS deaths","2019","California","06","1,384","4.2","NA"
"AIDS classifications","2019","California","06","1,855","5.6","NA"
"Receipt of HIV medical care","2017","Colorado","08","7,834","NA","66.6"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","2,417","NA","9.5"
"Knowledge of Status","2017","Colorado","08","11,932","NA","86.0 (81.9 - 90.5, 2.6)"
"HIV viral suppression","2017","Colorado","08","6,960","NA","59.2"
"HIV prevalence","2017","Colorado","08","11,889","252.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Colorado","08","13,900 (13,200 - 14,600, 2.6)","294.5 (279.7 - 309.3)","NA"
"Estimated HIV incidence","2017","Colorado","08","430 (290 - 570, 16.6)","9.2 (6.2 - 12.2)","NA"
"AIDS prevalence","2017","Colorado","08","5,224","110.9","NA"
"Receipt of HIV medical care","2018","Colorado","08","8,255","NA","67.4"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","3,459","NA","13.8"
"Knowledge of Status","2018","Colorado","08","12,382","NA","86.4 (82.3 - 91.0, 2.6)"
"HIV viral suppression","2018","Colorado","08","7,347","NA","59.9"
"HIV prevalence","2018","Colorado","08","12,361","257.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Colorado","08","14,300 (13,600 - 15,000, 2.6)","298.7 (283.8 - 313.7)","NA"
"Estimated HIV incidence","2018","Colorado","08","390 (240 - 550, 20.2)","8.2 (5.0 - 11.4)","NA"
"AIDS prevalence","2018","Colorado","08","5,349","111.6","NA"
"Receipt of HIV medical care","2019","Colorado","08","8,427","NA","67.1"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","4,404","NA","17.5"
"Knowledge of Status","2019","Colorado","08","12,739","NA","86.8 (82.6 - 91.4, 2.6)"
"HIV viral suppression","2019","Colorado","08","7,526","NA","59.9"
"HIV prevalence","2019","Colorado","08","12,718","261.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Colorado","08","14,700 (13,900 - 15,400, 2.6)","301.7 (286.4 - 316.9)","NA"
"Estimated HIV incidence","2019","Colorado","08","450 (270 - 640, 20.6)","9.3 (5.6 - 13.1)","NA"
"AIDS prevalence","2019","Colorado","08","5,447","112.0","NA"
"AIDS classifications","2019","Colorado","08","197","4.0","NA"
"AIDS deaths","2019","Colorado","08","100","2.1","NA"
"HIV deaths","2019","Colorado","08","131","2.7","NA"
"HIV diagnoses","2019","Colorado","08","460","9.5","NA"
"Linkage to HIV medical care","2019","Colorado","08","385","NA","83.5"
"AIDS classifications","2018","Colorado","08","185","3.9","NA"
"AIDS deaths","2018","Colorado","08","114","2.4","NA"
"HIV deaths","2018","Colorado","08","139","2.9","NA"
"HIV diagnoses","2018","Colorado","08","397","8.3","NA"
"Linkage to HIV medical care","2018","Colorado","08","332","NA","83.2"
"AIDS classifications","2017","Colorado","08","172","3.6","NA"
"AIDS deaths","2017","Colorado","08","104","2.2","NA"
"HIV deaths","2017","Colorado","08","129","2.7","NA"
"HIV diagnoses","2017","Colorado","08","429","9.1","NA"
"Linkage to HIV medical care","2017","Colorado","08","369","NA","84.2"
"Receipt of HIV medical care","2017","Connecticut","09","8,153","NA","81.0"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","1,580","NA","14.4"
"Knowledge of Status","2017","Connecticut","09","10,116","NA","90.9 (85.6 - 96.9, 3.2)"
"HIV viral suppression","2017","Connecticut","09","6,729","NA","66.9"
"HIV prevalence","2017","Connecticut","09","10,262","335.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Connecticut","09","11,100 (10,400 - 11,800, 3.1)","363.4 (341.0 - 385.8)","NA"
"Estimated HIV incidence","2017","Connecticut","09","230 (130 - 320, 22.2)","7.3 (4.1 - 10.6)","NA"
"AIDS prevalence","2017","Connecticut","09","6,326","206.6","NA"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","2,286","NA","23.9"
"Knowledge of Status","2018","Connecticut","09","10,251","NA","91.6 (86.2 - 97.6, 3.2)"
"HIV prevalence","2018","Connecticut","09","10,402","339.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Connecticut","09","11,200 (10,500 - 11,900, 3.2)","365.1 (342.4 - 387.7)","NA"
"Estimated HIV incidence","2018","Connecticut","09","190 (90 - 290, 27.9)","6.2 (2.8 - 9.5)","NA"
"AIDS prevalence","2018","Connecticut","09","6,335","206.6","NA"
"Receipt of HIV medical care","2019","Connecticut","09","8,361","NA","80.5"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","2,672","NA","27.9"
"Knowledge of Status","2019","Connecticut","09","10,349","NA","92.1 (86.7 - 98.3, 3.2)"
"HIV viral suppression","2019","Connecticut","09","7,059","NA","68.0"
"HIV prevalence","2019","Connecticut","09","10,492","342.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Connecticut","09","11,200 (10,500 - 11,900, 3.2)","366.8 (343.9 - 389.8)","NA"
"Estimated HIV incidence","2019","Connecticut","09","150 (40 - 260, 37.0*)","5.0 (1.4 - 8.6)","NA"
"AIDS prevalence","2019","Connecticut","09","6,312","206.1","NA"
"AIDS classifications","2019","Connecticut","09","125","4.1","NA"
"AIDS deaths","2019","Connecticut","09","168","5.5","NA"
"HIV deaths","2019","Connecticut","09","203","6.6","NA"
"HIV diagnoses","2019","Connecticut","09","205","6.7","NA"
"Linkage to HIV medical care","2019","Connecticut","09","186","NA","87.3"
"AIDS classifications","2018","Connecticut","09","141","4.6","NA"
"AIDS deaths","2018","Connecticut","09","147","4.8","NA"
"HIV deaths","2018","Connecticut","09","182","5.9","NA"
